,PMCID,Abstract
42,3570228,"TITLE.
Effects of different doses of sufentanil and remifentanil combined with propofol in target-controlled infusion on stress reaction in elderly patients

ABSTRACT.
The current study aimed to observe the effects of sufentanil and remifentanil combined with propofol in target-controlled infusion (TCI) on perioperative stress reaction in elderly patients. A total of 80 elderly patients requiring general anesthesia were recruited. They were divided into four groups (each n=20) according to different target concentrations of remifentanil and sufentanil. These target concentrations were: 4 ng/ml remifentanil + 0.2 ng/ml sufentanil for group I; 3 ng/ml remifentanil + 0.3 ng/ml sufentanil for group II; 2 ng/ml remifentanil + 0.5 ng/ml sufentanil for anesthesia induction and post-intubation 3 ng/ml remifentanil + 0.2 ng/ml sufentanil for anesthesia maintenance for group III; and 5 ng/ml remifentanil for anesthesia induction and post-intubation 4 ng/ml remifentanil for anesthesia maintenance for group IV. Norepinephrine (NE), epinephrine (E) and angiotensin II (Ang II) levels in plasma were measured prior to the induction of anesthesia, as well as at several different time-points following surgery. The numbers of intraoperative severe hemodynamic fluctuation, postoperative eye-opening and extubation time, and post-extubation restlessness and pain scores were recorded. Group IV had a larger circulation fluctuation control number and higher levels of NE, E and Ang II at 3 h after surgery than any other group (P<0.01). Although group IV had shorter postoperative eye-opening and extubation times compared with the other groups (P<0.05), it also had higher restlessness and pain scores (P<0.01). The combined use of sufentanil and remifentanil stabilizes perioperative hemodynamics and reduces stress hormone levels."
43,3575357,"TITLE.
Effectiveness of the physical activity promotion programme on the quality of life and the cardiopulmonary function for inactive people: Randomized controlled trial

ABSTRACT.BACKGROUND.
The purpose is to assess cardiopulmonary function outcomes and quality of life values in inactive people that participated in the Physical Activity Promotion Programme (PAPP) against the control group that did not perform this program.

ABSTRACT.METHOD.
A total of 100 subjects of both genders participated in the randomized controlled trial with systematic random sampling; all were aged 55 and older, from Torremolinos, Spain. Participants either received (n = 50) the PAPP for 60 minutes, twice a week during three months or (n = 50) they received health education. The effectiveness of the intervention was measured by general state of health the Short Form 12 health survey questionnaire, and the quality of life was determined with the EuroQoL-5D questionnaire. Cardiopulmonary function was measured with a spirometry and a walking test according to the Bruce protocol.

ABSTRACT.RESULTS.
This pilot study had a significant impact on the quality of life (p = 0.05) in men, which increased. However, the quality of life in women did not improve. The average changes in the lung and cardiovascular function was not significant between groups.

ABSTRACT.CONCLUSIONS.
Changes in the quality of life measured with EQ-5D in the group of men who carried out the PAPP were statistically significant when comparing between groups. However changes in cardiopulmonary function were not as relevant when comparing between groups. There was a significant effect within each group in the pulmonary outcomes of values in men, within the experimental group.

ABSTRACT.TRIAL REGISTRATION.
Developed by the University of Málaga. ClinicalTrials.gov ID: NCT01172483."
44,3580299,"TITLE: 
Efficacy of Alfuzosin After Shock Wave Lithotripsy for the Treatment of Ureteral Calculi

ABSTRACT.PURPOSE:
We evaluated the efficacy of alfuzosin for the treatment of ureteral calculi less than 10 mm in diameter after extracorporeal shock wave lithotripsy (ESWL).

ABSTRACT.MATERIALS AND METHODS:
A randomized, single-blind clinical trial was performed prospectively by one physician between June 2010 and August 2011. A total of 84 patients with ureteral calculi 5 to 10 mm in diameter were divided into two groups. Alfuzosin 10 mg (once daily) and loxoprofen sodium 68.1 mg (as needed) were prescribed to group 1 (n=41), and loxoprofen sodium 68.1 mg (as needed) only was prescribed to group 2 (n=44). The drug administration began immediately after ESWL and continued until stone expulsion was confirmed up to a maximum of 42 days after the procedure.

ABSTRACT.RESULTS:
Thirty-nine of 41 (95.1%) patients in group 1 and 40 of 43 (93.0%) patients in group 2 ultimately passed stones (p=0.96). The number of ESWL sessions was 1.34±0.65 and 1.41±0.85 in groups 1 and 2, respectively (p=0.33). The patients who required analgesics after ESWL were 8 (19.5%) in group 1 and 13 (30.2%) in group 2 (p=0.31). Visual analogue scale pain severity scores were 5.33±1.22 and 6.43±1.36 in groups 1 and 2, respectively (p=0.056). The time to stone expulsion in groups 1 and 2 was 9.5±4.8 days and 14.7±9.8 days, respectively (p=0.005). No significant adverse effects occurred.

ABSTRACT.CONCLUSIONS:
The use of alfuzosin in combination with ESWL seems to facilitate stone passage and to reduce the time of stone expulsion but does not affect the stone-free rate."
45,3608893,"TITLE.
A randomized comparison of a commercially available portion-controlled weight-loss intervention with a diabetes self-management education program

ABSTRACT.OBJECTIVE:.
This study examined the efficacy of a commercially available, portion-controlled diet (PCD) on body weight and HbA1c over 6 months in obese patients with type 2 diabetes.

ABSTRACT.RESEARCH DESIGN AND METHODS:.
One-hundred participants with a mean±s.d. age of 55.6±10.6 year, body weight of 102.9±18.4 kg and HbA1c of 7.7±1.3% were randomly assigned to a 9-session group lifestyle intervention that included a PCD or to a 9-session group program of diabetes self-management education (DSME). Participants in the two groups were prescribed the same goals for energy intake (1250–1550 kcal per day) and physical activity (200 min per week).

ABSTRACT.RESULTS:.
While both groups produced significant improvements in weight and HbA1c after 6 months of treatment, PCD participants lost 7.3 kg [95% confidence interval (CI): −5.8 to −8.8 kg], compared with 2.2 kg (95% CI: −0.7 to −3.7 kg) in the DSME group (P<0.0001). Significantly more PCD than DSME participants lost ⩾5% of initial weight (54.0% vs 14.0%, P<0.0001) and ⩾10% (26.0% vs 6.0%, P<0.0001). HbA1c declined by 0.7% (95% CI: −0.4 to −1.0%) in the PCD group, compared with 0.4% (95% CI: −0.1 to −0.7%) in DSME (P<0.026). Across both groups, larger weight losses were associated with greater reductions in HbA1c (r=0.52, P<0.0001).

ABSTRACT.CONCLUSIONS:.
These findings demonstrate that a commercially available portion-controlled meal plan can induce clinically meaningful improvements in weight and glycemic control in obese individuals with type 2 diabetes. These data have implications for the management of obesity in primary care, as now provided by the Centers for Medicare and Medicaid Services."
46,3620559,"TITLE.
A pilot trial of large versus small diameter needles for oocyte retrieval

ABSTRACT.BACKGROUND.
This study was designed to determine whether small diameter needles for oocyte retrieval alter oocyte yields in patients undergoing IVF in comparison to standard large diameter needles.

ABSTRACT.METHODS.
We conducted a prospective pilot study of 21 consecutive favorable prognosis patients. In each patient one ovary was randomly allocated to retrieval with either a 20 G/ 35 mm (thin) or 17 G/ 35 mm (standard) needle, the other ovary was then retrieved with the opposite needle.

ABSTRACT.RESULTS.
The standard diameter needle was used to collect a total of 215 oocytes from 355 aspirated follicles (60.6%) compared to 203 oocytes from 352 aspirated follicles (57.7%) with the thinner needle (p = 0.23). Stratifying outcomes by anti-Müllerian hormone (AMH), as indicator of ovarian reserve, and by body mass index (BMI) the oocyte yields, still, did not differ (AMH, r (17) = −0.20, p = 0.44; BMI, r (17) =0.02, p = 0.96). Outcomes also did not vary among women with diminished ovarian reserve (p = 0.17) and in women with normal ovarian reserve (p = 1.00). Operating time was, however, significantly increased by 3.3 minutes per ovary (z = −3.08, p = 0.002) with the thinner needle.

ABSTRACT.CONCLUSIONS.
Needle diameter does not affect oocyte yield, including in obese patients and patients with diminished ovarian reserve. Thinner needles appear to significantly prolong operating time."
47,3628658,"TITLE.
Randomized Controlled Trials of Proximal Femoral Nail Antirotation in Lateral Decubitus and Supine Position on Treatment of Intertrochanteric Fractures

ABSTRACT.
The objective of this study was to compare the clinical results and complications of proximal femoral nail antirotation (PFNA) on treatment of intertrochanteric fractures in 120 elderly Chinese patients using Randomized Controlled Trials (RCTs). Totaly 120 cases enrolled were randomly assigned to a lateral decubitus position group and supine position group. The hospital stay, operating time, intraoperative blood loss, length of incision, X-ray fluoroscopy time, and out-of-bed activity time in the lateral decubitus position group were significantly lower than those in the supine position group. There was not statistical significance on union time and Harris values in the two position groups. Moreover, only complications of superficial wound infection were observed in the lateral decubitus position group, but two complications of deep venous thrombosis and wound deep infection were found in the supine position group. The present findings suggested that PFNA applied in elderly patients with intertrochanteric fracture can get satisfactory effects, and the treatment of intertrochanteric fractures using lateral decubitus position showed a satisfactory clinical outcome and a lower radiological complication rate."
48,3630066,"TITLE: 
No relevant modulation of TRPV1-mediated trigeminal pain by intranasal carbon dioxide in healthy humans

ABSTRACT.BACKGROUND:
Nasal insufflation of CO2 has been shown to exert antinociceptive respectively antihyperalgesic effects in animal pain models using topical capsaicin with activation of TRPV1-receptor positive nociceptive neurons. Clinical benefit from CO2 inhalation in patients with craniofacial pain caused by a putative activation of TRPV1 receptor positive trigeminal neurons has also been reported. These effects are probably mediated via an activation of TRPV1 receptor - positive neurons in the nasal mucosa with subsequent central inhibitory effects (such as conditioned pain modulation). In this study, we aimed to examine the effects of intranasal CO2 on a human model of craniofacial pain elicited by nasal application of capsaicin.

ABSTRACT.METHODS:
In a first experiment, 48 healthy volunteers without previous craniofacial pain received intranasal capsaicin to provoke trigeminal pain elicited by activation of TRVP1 positive nociceptive neurons. Then, CO2 or air was insufflated alternatingly into the nasal cavity at a flow rate of 1 l/min for 60 sec each. In the subsequent experiment, all participants were randomized into 2 groups of 24 each and received either continuous nasal insufflation of CO2 or placebo for 18:40 min after nociceptive stimulation with intranasal capsaicin. In both experiments, pain was rated on a numerical rating scale every 60 sec.

ABSTRACT.RESULTS:
Contrary to previous animal studies, the effects of CO2 on experimental trigeminal pain were only marginal. In the first experiment, CO2 reduced pain ratings only minimally by 5.3% compared to air if given alternatingly with significant results for the main factor GROUP (F1,47 = 4.438; p = 0.041) and the interaction term TIME*GROUP (F2.6,121.2 = 3.3; p = 0.029) in the repeated-measures ANOVA. However, these effects were abrogated after continuous insufflation of CO2 or placebo with no significant changes for the main factors or the interaction term.

ABSTRACT.CONCLUSIONS:
Although mild modulatory effects of low-flow intranasal CO2 could be seen in this human model of TRPV-1 mediated activation of nociceptive trigeminal neurons, utility is limited as observed changes in pain ratings are clinically non-significant."
49,3656551,"TITLE: 
Immunogenicity and Safety of 2 Dose Levels of a Thimerosal-Free Trivalent Seasonal Influenza Vaccine in Children Aged 6–35 Months: A Randomized, Controlled Trial

ABSTRACT.BACKGROUND.:
Improved influenza vaccine strategies for infants and preschool children are a high priority.

ABSTRACT.METHODS.:
The immunological response and safety of a thimerosal-free trivalent inactivated influenza vaccine at 2 different doses (0.50 mL vs 0.25 mL) was evaluated in children aged 6–35 months. The study was randomized, observer blind, multicenter, and stratified by age (6–23 months and 24–35 months), and it accounted for prior influenza immunization status.

ABSTRACT.RESULTS.:
Three hundred seventy-four children were in the total vaccinated cohort (study vaccine 0.25-mL dose, n = 164; 0.50-mL dose, n = 167; comparator 0.25 mL, n = 43). Regulatory criteria for immunogenicity of influenza vaccines in adults were met for all virus strains and doses for both age strata. A modest but not statistically significant improvement in immune responses was observed with the higher dose and reactogenicity, and safety of the 2 doses was not significantly different.

ABSTRACT.CONCLUSIONS.:
The 0.5-mL dose of the study vaccine, when administered to children aged 6–35 months, resulted in a modest but not statistically significant improvement in immunogenicity with clinically similar safety and reactogenicity compared with the 0.25-mL dose. Further studies comparing full- and half-dose influenza vaccine in young children are needed.

ABSTRACT.CLINICAL TRIALS REGISTRATION.:
NCT00778895."
50,3658388,"TITLE.
The Effect of Low-Level Laser Therapy on Hearing

ABSTRACT.
One purported use of low-level laser therapy (LLLT) is to promote healing in damaged cells. The effects of LLLT on hearing loss and tinnitus have received some study, but results have been equivocal. The purpose of this study was to determine if LLLT improved hearing, speech understanding, and/or cochlear function in adults with hearing loss. Using a randomized, double-blind, placebo-controlled design, subjects were assigned to a treatment, placebo, or control group. The treatment group was given LLLT, which consisted of shining low-level lasers onto the outer ear, head, and neck. Each laser treatment lasted approximately five minutes. Three treatments were applied within the course of one week. A battery of auditory tests was administered immediately before the first treatment and immediately after the third treatment. The battery consisted of pure-tone audiometry, the Connected Speech Test, and transient-evoked otoacoustic emissions. Data were analyzed by comparing pre- and posttest results. No statistically significant differences were found between groups for any of the auditory tests. Additionally, no clinically significant differences were found in any individual subjects. This trial is registered with ClinicalTrials.gov (NCT01820416)."
51,3659039,"TITLE: 
Changes in plasma and erythrocyte omega-6 and omega-3 fatty acids in response to intravenous supply of omega-3 fatty acids in patients with hepatic colorectal metastases

ABSTRACT.BACKGROUND:
Eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) are functionally the most important omega-3 polyunsaturated fatty acids (PUFAs). Oral supply of these fatty acids increases their levels in plasma and cell membranes, often at the expense of the omega-6 PUFAs arachidonic acid (ARA) and linoleic acid. This results in an altered pattern of lipid mediator production to one which is less pro-inflammatory. We investigated whether short term intravenous supply of omega-3 PUFAs could change the levels of EPA, DHA, ARA and linoleic acid in plasma and erythrocytes in patients with hepatic colorectal metastases.

ABSTRACT.METHODS:
Twenty patients were randomised to receive a 72 hour infusion of total parenteral nutrition with (treatment group) or without (control group) omega-3 PUFAs. EPA, DHA, ARA and linoleic acid were measured in plasma phosphatidylcholine (PC) and erythrocytes at several times points up to the end of infusion and 5 to 12 days (mean 9 days) after stopping the infusion.

ABSTRACT.RESULTS:
The treatment group showed increases in plasma PC EPA and DHA and erythrocyte EPA and decreases in plasma PC and erythrocyte linoleic acid, with effects most evident late in the infusion period. Plasma PC and erythrocyte EPA and linoleic acid all returned to baseline levels after the 5–12 day washout. Plasma PC DHA remained elevated above baseline after washout.

ABSTRACT.CONCLUSIONS:
Intravenous supply of omega-3 PUFAs results in a rapid increase of EPA and DHA in plasma PC and of EPA in erythrocytes. These findings suggest that infusion of omega-3 PUFAs could be used to induce a rapid effect especially in targeting inflammation.

ABSTRACT.TRIAL REGISTRATION:
http://www.clinicaltrials.gov identifier NCT00942292"
52,3671234,"TITLE.
A Study to Compare the Analgesic Efficacy of Intrathecal Bupivacaine Alone with Intrathecal Bupivacaine Midazolam Combination in Patients Undergoing Elective Infraumbilical Surgery

ABSTRACT.
Spinal anaesthesia, which is one of the techniques for infraumbilical surgeries, is most commonly criticized for limited duration of postoperative analgesia. Several adjuvants have been tried along with local anesthetic for prolonging the duration of analgesia. In this study, we have observed the effect of midazolam as an adjuvant in patients undergoing infraumbilical surgery. In this prospective, randomized, double blinded, and parallel group and open label study of 90 adult patients aged 18–60 years, of American Society of Anaesthesiologists (ASA) status I and II, scheduled for elective infraumbilical surgery, were randomly allocated in two groups. Each patient in group ""B"" received hyperbaric bupivacaine 12.5 mg along with 0.4 mL of normal saline in the subarachnoid block, and patients of group ""BM"" received 12.5 mg hyperbaric bupivacaine along with preservative free midazolam 0.4 mL (2 mg). We found that use of midazolam as adjuvant with the local anesthetic in spinal anaesthesia significantly increases the duration of analgesia (median 320 min versus 220 min) and motor block (median 255 min versus 195 min) but decreases the incidence of postoperative nausea-vomiting (PONV)."
53,3681405,"TITLE: 
Long-term results of a randomized controlled trial evaluating preoperative chemotherapy in resectable non-small cell lung cancer

ABSTRACT.OBJECTIVE:
We aimed to evaluate whether preoperative chemotherapy provides benefits in the survival and prognosis of patients with non-small cell lung cancer (NSCLC) in resectable stages I to IIIA, except T1N0.

ABSTRACT.METHODS:
In this randomized, controlled trial, 356 patients with stage I (except for T1N0), II and IIIA NSCLC were assigned to either the preoperative chemotherapy plus surgery arm (179 patients) or the primary surgery arm (177 patients). Both treatments were followed by adjuvant chemotherapy. The end point of this study included overall survival (OS), progression-free survival (PFS), and survival rate associated with clinical remission.

ABSTRACT.RESULTS:
Statistical survival difference was found between the preoperative chemotherapy plus surgery arm and the surgery-alone arm. However, the median survival time (MST) in the preoperative chemotherapy arm was lower than that of surgery-alone arm (MST, 45.42 months vs 57.59 months) (P = 0.016). When comparing the effect of preoperative chemotherapy at each stage of NSCLC, a statistical survival difference was found in stage II NSCLC but not in stage I and IIIA (MST 40.86 months vs 80.81 months) (P = 0.044). However, no statistically significant difference in PFS was noticed between the two arms, except for stage I NSCLC (hazard radio [HR] = 0.87; 95% CI, 0.561–1.629; P = 0.027). The survival rate was higher for patients who had clinical remission after preoperative chemotherapy, but the differences did not reach statistical significance (MST 42.10 months vs 35.33 months) (P = 0.630).

ABSTRACT.CONCLUSION:
Preoperative chemotherapy did not show benefits in OS and PFS for stage I–IIIA NSCLC patients."
54,3687098,"TITLE: 
Safety and Tolerability of Sitagliptin in Type 2 Diabetes: Pooled Analysis of 25 Clinical Studies

ABSTRACT.INTRODUCTION:
In a previous pooled analysis of 19 double-blind clinical studies conducted by Merck, which included data available as of July 2009 on 10,246 patients with type 2 diabetes (T2DM), treatment with sitagliptin was shown to be generally well tolerated compared with treatment with control agents. As the sitagliptin clinical development program continues, additional studies with sitagliptin have been completed. The present analysis updates the safety and tolerability assessment of sitagliptin by examining pooled data from 25 double-blind clinical studies.

ABSTRACT.METHODS:
The present analysis included data from 14,611 patients in 25 studies with T2DM who received either sitagliptin 100 mg/day (n = 7,726; sitagliptin group) or a comparator agent (n = 6,885; non-exposed group). These studies represent all randomized, double-blind trials conducted by Merck that included patients treated with the usual clinical dose of sitagliptin (100 mg/day) for between 12 weeks and 2 years, and for which results were available as of December 2011. These studies assessed sitagliptin, versus comparator agents, taken as monotherapy, initial combination therapy with metformin or pioglitazone, or as add-on combination therapy with other antihyperglycemic agents (metformin, pioglitazone, a sulfonylurea ± metformin, insulin ± metformin, or metformin + pioglitazone or rosiglitazone). Patient-level data from each study were used to evaluate between-group differences in the exposure-adjusted incidence rates of adverse events (AEs).

ABSTRACT.RESULTS:
Overall incidence rates of AEs and drug-related AEs were higher in the non-exposed group compared with the sitagliptin group. Incidence rates of specific AEs were generally similar between the two groups, except for higher incidence rates of hypoglycemia related to the greater use of a sulfonylurea and diarrhea related to the greater use of metformin in the non-exposed group, and of constipation in the sitagliptin group. Treatment with sitagliptin was not associated with an increased risk of major adverse cardiovascular events, malignancy, or pancreatitis.

ABSTRACT.CONCLUSION:
In this updated pooled safety analysis of data from 14,611 patients with T2DM, sitagliptin 100 mg/day was generally well tolerated in clinical trials of up to 2 years in duration."
55,3691658,"TITLE: 
Vitamin D supplementation for patients with multiple sclerosis treated with interferon-beta: a randomized controlled trial assessing the effect on flu-like symptoms and immunomodulatory properties

ABSTRACT.BACKGROUND:
Flu-like symptoms (FLS) are common side effects of interferon beta (IFN-β) treatment in patients with Multiple Sclerosis (PwMS) and are associated with post-injection cytokine surge. We hypothesized that vitamin D3 supplementation would ameliorate FLS by decreasing related serum cytokines’ levels.

ABSTRACT.METHODS:
In a randomized, double blind study of 45 IFNβ-treated PwMS, 21 patients were assigned to 800 IU of vitamin D3 per day (low dose), while 24 patients received 4,370 IU per day (high dose) for one year. FLS were assessed monthly by telephonic interviews. Serum levels of 25-hydroxy-D (25-OH-D), calcium, PTH, IL-17, IL-10 and IFN-γ were measured periodically. EDSS, relapses, adverse events and quality of life (QoL) were documented.

ABSTRACT.RESULTS:
25-OH-D levels increased to a significantly higher levels and PTH levels decreased in the high dose group. There was no significant change in FLS. IL-17 levels were significantly increased in the low dose group, while patients receiving high dose vitamin D had a heterogeneous IL-17 response. No significant differences in relapse rate, EDSS, QoL, serum IL-10 and IFNγ were found. Hypercalcemia or other potential major adverse events were not observed.

ABSTRACT.CONCLUSION:
Vitamin D supplementation to IFN−β treated PwMS, at the doses used, seems safe and associated with dose-dependent changes in IL-17 serum levels, while not affecting IFN−β related FLS.

ABSTRACT.TRIAL REGISTRATION:
ClinicalTrials.gov ID: NCT01005095"
56,3730064,"TITLE.
The Effect of Bevacizumab versus Ranibizumab in the Treatment of Corneal Neovascularization: A Preliminary Study

ABSTRACT.PURPOSE.
To compare the short term effects of bevacizumab and ranibizumab injections on the regression of corneal neovascularization (NV).

ABSTRACT.METHODS.
Sixteen eyes of 16 patients with corneal NV were randomly assigned for an injection with 2.5 mg of bevacizumab (group 1, n = 8) or 1 mg of ranibizumab (group 2, n = 8) through subconjunctival and intrastromal routes. The patients were prospectively followed-up for one month after the injections. Corneal NV areas, as shown on corneal slit-lamp photographs stored in JPEG format, were calculated using Image J software before the injection, one week after the injection, and one month after the injection. The corneal NV areas were compared before and after the injections.

ABSTRACT.RESULTS.
Seven women and nine men, with an average age of 51 years, presented with corneal NV secondary to herpetic keratitis (7 cases), graft rejection (6), chemical burn (1), pemphigoid (1), and recurrent ulcer (1). In group I, the preoperative corneal NV area (8.75 ± 4.33%) was significantly decreased to 5.62 ± 3.86% one week after the injection and to 6.35 ± 3.02% one month after the injection (p = 0.012, 0.012, respectively). The corneal NV area in group 2 also exhibited a significant change, from 7.37 ± 4.33% to 6.72 ± 4.16% one week after the injection (p = 0.012). However, no significant change was observed one month after the injection. The mean decrease in corneal NV area one month after injection in group 1 (28.4 ± 9.01%) was significantly higher than in group 2 (4.51 ± 11.64%, p = 0.001).

ABSTRACT.CONCLUSIONS.
Bevacizumab injection resulted in a more effective and stable regression of corneal NV compared to the ranibizumab injection. The potency and dose of these two drugs for the regression of corneal NV require further investigation."
57,3751568,"TITLE: 
Exercise in children with joint hypermobility syndrome and knee pain: a randomised controlled trial comparing exercise into hypermobile versus neutral knee extension

ABSTRACT.BACKGROUND:
Knee pain in children with Joint Hypermobility Syndrome (JHS) is traditionally managed with exercise, however the supporting evidence for this is scarce. No trial has previously examined whether exercising to neutral or into the hypermobile range affects outcomes. This study aimed to (i) determine if a physiotherapist-prescribed exercise programme focused on knee joint strength and control is effective in reducing knee pain in children with JHS compared to no treatment, and (ii) whether the range in which these exercises are performed affects outcomes.

ABSTRACT.METHODS:
A prospective, parallel-group, randomised controlled trial conducted in a tertiary hospital in Sydney, Australia compared an 8 week exercise programme performed into either the full hypermobile range or only to neutral knee extension, following a minimum 2 week baseline period without treatment. Randomisation was computer-generated, with allocation concealed by sequentially numbered opaque sealed envelopes. Knee pain was the primary outcome. Quality of life, thigh muscle strength, and function were also measured at (i) initial assessment, (ii) following the baseline period and (iii) post treatment. Assessors were blinded to the participants’ treatment allocation and participants blinded to the difference in the treatments.

ABSTRACT.RESULTS:
Children with JHS and knee pain (n=26) aged 7-16 years were randomly assigned to the hypermobile (n=12) or neutral (n=14) treatment group. Significant improvements in child-reported maximal knee pain were found following treatment, regardless of group allocation with a mean 14.5 mm reduction on the visual analogue scale (95% CI 5.2 – 23.8 mm, p=0.003). Significant differences between treatment groups were noted for parent-reported overall psychosocial health (p=0.009), specifically self-esteem (p=0.034), mental health (p=0.001) and behaviour (p=0.019), in favour of exercising into the hypermobile range (n=11) compared to neutral only (n=14). Conversely, parent-reported overall physical health significantly favoured exercising only to neutral (p=0.037). No other differences were found between groups and no adverse events occurred.

ABSTRACT.CONCLUSIONS:
Parents perceive improved child psychosocial health when children exercise into the hypermobile range, while exercising to neutral only is perceived to favour the child’s physical health. A physiotherapist prescribed, supervised, individualised and progressed exercise programme effectively reduces knee pain in children with JHS.

ABSTRACT.TRIAL REGISTRATION:
Australia & New Zealand Clinical Trials Registry; ACTRN12606000109505."
58,3780629,"TITLE.
Combining Imagination and Reason in the Treatment of Depression

ABSTRACT.
Objective: Computerized cognitive-bias modification (CBM) protocols are rapidly evolving in experimental medicine yet might best be combined with Internet-based cognitive behavioral therapy (iCBT). No research to date has evaluated the combined approach in depression. The current randomized controlled trial aimed to evaluate both the independent effects of a CBM protocol targeting imagery and interpretation bias (CBM-I) and the combined effects of CBM-I followed by iCBT. Method: Patients diagnosed with a major depressive episode were randomized to an 11-week intervention (1 week/CBM-I + 10 weeks/iCBT; n = 38) that was delivered via the Internet with no face-to-face patient contact or to a wait-list control (WLC; n = 31). Results: Intent-to-treat marginal models using restricted maximum likelihood estimation demonstrated significant reductions in primary measures of depressive symptoms and distress corresponding to medium-large effect sizes (Cohen's d = 0.62–2.40) following CBM-I and the combined (CBM-I + iCBT) intervention. Analyses demonstrated that the change in interpretation bias at least partially mediated the reduction in depression symptoms following CBM-I. Treatment superiority over the WLC was also evident on all outcome measures at both time points (Hedges gs = .59–.98). Significant reductions were also observed following the combined intervention on secondary measures associated with depression: disability, anxiety, and repetitive negative thinking (Cohen's d = 1.51–2.23). Twenty-seven percent of patients evidenced clinically significant change following CBM-I, and this proportion increased to 65% following the combined intervention. Conclusions: The current study provides encouraging results of the integration of Internet-based technologies into an efficacious and acceptable form of treatment delivery."
59,3781573,"TITLE: 
Impact of Glycemic Control Strategies on the Progression of Diabetic Peripheral Neuropathy in the Bypass Angioplasty Revascularization Investigation 2 Diabetes (BARI 2D) Cohort

ABSTRACT.OBJECTIVE:
The Bypass Angioplasty Revascularization Investigation 2 Diabetes (BARI 2D) trial demonstrated similar long-term clinical effectiveness of insulin-sensitizing (IS) versus insulin-providing (IP) treatments for type 2 diabetes on cardiovascular outcomes in a cohort with documented coronary artery disease. We evaluated the effects of randomized glycemic control strategy (IS vs. IP) on the prevalence and incidence of diabetic peripheral neuropathy (DPN).

ABSTRACT.RESEARCH DESIGN AND METHODS:
DPN (defined as Michigan Neuropathy Screening Instrument [MNSI] clinical examination score >2) was assessed at baseline and yearly for 4 years. DPN prevalence and incidence were compared by intention-to-treat modeling by logistic generalized estimating equation models for prevalence and Kaplan-Meier estimates and Cox regression models for incidence rates.

ABSTRACT.RESULTS:
Results are reported for 2,159 BARI 2D participants (70% males) with valid baseline and at least one follow-up MNSI score (mean age 62 ± 9 years, mean HbA1c 7.7 ± 1.6%, diabetes duration 10 ± 9 years). There were no differences in the prevalence of DPN between the IS and the IP groups throughout the 4 years of follow-up. In 1,075 BARI 2D participants with no DPN at baseline, the 4-year cumulative incidence rate of DPN was significantly lower in the IS (66%) than in the IP (72%) strategy group (P = 0.02), which remained significant after adjusting for the in-trial HbA1c (P = 0.04). In subgroup analyses, IS strategy had a greater benefit in men (hazard ratio 0.75 [99% CI 0.58–0.99], P < 0.01).

ABSTRACT.CONCLUSIONS:
Among patients with type 2 diabetes followed for up to 4 years during BARI 2D, a glycemic control therapy with IS significantly reduced the incidence of DPN compared with IP therapy and may add further benefit for men."
60,3798949,"TITLE.
Treatment costs associated with interventional cancer clinical trials conducted at a single UK institution over 2 years (2009–2010)

ABSTRACT.BACKGROUND:.
The conduct of clinical trials should be an integral part of routine patient care. Treating patients in trials incurs additional costs over and above standard of care (SOC), but the extent of the cost burden is not known. We undertook a retrospective cost attribution analysis to quantitate the treatment costs associated with cancer clinical trial protocols conducted over a 2 year period.

ABSTRACT.METHODS:.
All patients entered into oncology (non-haematology) clinical trials involving investigational medicinal products in 2009 and 2010 in a single UK institution were identified. The trial protocols on which they were treated were analysed to identify the treatment costs for the experimental arm(s) of the trial and the equivalent SOC had the patient not been entered in the trial. The treatment cost difference was calculated by subtracting the experimental treatment cost from SOC cost. For randomised trials, an average treatment cost was estimated by taking into account the number of arms and randomisation ratio. An estimate of the annual treatment costs was calculated.

ABSTRACT.RESULTS:.
A total of 357 adult oncology patients were treated on 53 different trial protocols: 40 phase III, 2 randomised II/III and 11 phase II design. A total of 27 trials were academic, non-commercial sponsored trials and 26 were commercial sponsored trials. When compared with SOC, the average treatment cost per patient was an excess of £431 for a non-commercial trial (range £6393 excess to £6005 saving) and a saving of £9294 for a commercial trial (range £0 to £71 480). There was an overall treatment cost saving of £388 719 in 2009 and £496 556 in 2010, largely attributable to pharmaceutical company provision of free drug supplies.

ABSTRACT.CONCLUSION:.
On an average, non-commercial trial protocols were associated with a small per patient excess treatment cost, whereas commercial trials were associated with a substantially higher cost saving. Taking into account the total number of patients recruited annually, treatment of patients on clinical trial protocols was associated with considerable cost savings across both the non-commercial and commercial portfolio."
