,edit_id,doc_id,model,source,target,question,answer,primary_section,faq,secondary,note
29,6fde15a89e08a7d76d09874d87d2d380,3691658,karim,"BACKGROUND.
Flu-like symptoms (FLS) are common side effects of interferon beta (IFN-β) treatment in patients with Multiple Sclerosis (PwMS) and are associated with post-injection cytokine surge. We hypothesized that vitamin D3 supplementation would ameliorate FLS by decreasing related serum cytokines’ levels.

METHODS.
In a randomized, double blind study of 45 IFNβ-treated PwMS, 21 patients were assigned to 800 IU of vitamin D3 per day (low dose), while 24 patients received 4,370 IU per day (high dose) for one year. FLS were assessed monthly by telephonic interviews. Serum levels of 25-hydroxy-D (25-OH-D), calcium, PTH, IL-17, IL-10 and IFN-γ were measured periodically. EDSS, relapses, adverse events and quality of life (QoL) were documented.

RESULTS.
25-OH-D levels increased to a significantly higher levels and PTH levels decreased in the high dose group. There was no significant change in FLS. IL-17 levels were significantly increased in the low dose group, while patients receiving high dose vitamin D had a heterogeneous IL-17 response. No significant differences in relapse rate, EDSS, QoL, serum IL-10 and IFNγ were found. Hypercalcemia or other potential major adverse events were not observed.

CONCLUSION.
Vitamin D supplementation to IFN−β treated PwMS, at the doses used, seems safe and associated with dose-dependent changes in IL-17 serum levels, while not affecting IFN−β related FLS.

TRIAL REGISTRATION.
ClinicalTrials.gov ID: NCT01005095","BACKGROUND.
People with Multiple Sclerosis often get flu-like symptoms when receiving a treatment called interferon beta (IFN-β). There seems to be a link with a spike in certain proteins (cytokines) in the blood after the injection. We think taking Vitamin D3 might help reduce these flu-like symptoms by lowering the levels of these proteins in the blood.

METHODS.
We ran a study with 45 people who were being treated for their Multiple Sclerosis with IFN-β. Half of them were given a small dose of Vitamin D3 each day and the other half were given a larger dose, every day for a year. We checked in with them regularly via phone to see if they were having flu-like symptoms. We also checked certain things in their blood and noted any relapses or changes in the quality of their life.

RESULTS.
People who took the higher dose of Vitamin D3 had higher levels of vitamin D in their blood and lower levels of a certain hormone. However, we didn't see any major change in their flu-like symptoms. In the low dose group, levels of a certain protein (IL-17) rose significantly. No major changes were found in other factors we were monitoring, such as relapse rate and quality of life. We also didn't observe any serious side effects from the vitamin D supplementation.

CONCLUSION.
It seems safe for people receiving IFN-β treatment for their Multiple Sclerosis to take Vitamin D supplements. The dose does measurably impact levels of the protein IL-17, but it doesn't seem to affect the flu-like symptoms related to the IFN-β treatment.

TRIAL REGISTRATION.
This clinical trial is registered on ClinicalTrials.gov with the ID: NCT01005095.",What procedure did the study use?,"It was a randomized, double-blind study. Meaning neither the researchers or patients knew what they were receiving during the trial.",Methods,5.1 - Experiment Protocol,,
30,b3027bf35782888c212b6545de070562,3269796,karim,"The purpose of this study was to compare a novel bone marrow device with the standard marrow needle in a prospective, randomized study in a teaching hospital employing hematologists-in-training. The new device, the OnControl Bone Marrow (OBM) Biopsy System, utilizes a battery-powered drill to insert the needle. Fifty-four bone marrows (27 standard and 27 OBM) were performed by 11 fellows under the observation and supervision of 3 attending hematologists and 1 research technologist. The primary endpoint of the study, the mean length of the marrow biopsy specimens, a surrogate for marrow quality, was determined by a pathologist in a blinded manner. The mean length of the marrow biopsy specimens was significantly longer (56%) for the OBM group (15.3 mm) than for the standard bone marrow (SBM) group (9.8 mm), P≺0.003. An objectively determined secondary endpoint; mean procedure time, skin-to-skin; also favored the OBM group (175 s) versus the SBM group (292 s), P≺0.007. Several subjective secondary endpoints also favored the OBM group. Only minor adverse events were encountered in the OBM and SBM study groups. It was concluded that bone marrow procedures (BMPs) performed by hematologists-in-training were significantly faster and superior in quality when performed with the OBM compared to the SBM. These data suggest that the OBM may be considered a new standard of care for adult hematology patients. OBM also appears to be a superior method for training hematology fellows.","The goal of this research was to compare a newly developed bone marrow device with the regular bone marrow needle. The study took place in a teaching hospital, with medical trainees overseen by experienced doctors and a research technician. The new device, called the OnControl Bone Marrow (OBM) Biopsy System, is powered by a battery-operated drill to insert its needle.

The research carried out 54 bone marrow tests, half done with the standard needle and half done with the new OnControl device. The main goal measured was the average length of the bone marrow samples taken out, as longer samples usually mean better quality. The ones taken out by the OnControl device were, on average, over half as long again as the ones taken out with the regular needle.

The researchers also timed the procedures and found that the OnControl device completed its tests significantly faster than the regular needle did. Other measures also favored the OnControl device. There were only a few minor problems in both groups of tests.

Therefore, the researchers concluded that bone marrow tests carried out by doctors-in-training are faster and provide better results when the OnControl device is used compared to the regular needle. Consequently, this device could be favored as a new norm for adult patients needing hematology, and it is a better tool for teaching medical trainees in hematology.",What type of trainees were present in the teaching hospital?,Hematologists (those who study the blood).,n/a (Unsectioned),2 - Goal,,
31,bc9d40622621de5146a02c42408b3f99,5985618,karim,"INTRODUCTION.
Halitosis and foreign body sensation are two common and disturbing symptoms of chronic caseous tonsillitis (CCT). The aim of this study was to compare the efficacy and safety of temperature-controlled radiofrequency (TC-RF) tonsil ablation with CO2-laser cryptolysis (CO2-LC) in the treatment of patients with halitosis caused by CCT.

MATERIALS AND METHODS.
Sixty-two patients who suffered from halitosis and/or foreign body sensation due to CCT were enrolled in the present randomized clinical trial, and were randomly assigned into two groups. Group A underwent TC-RF tonsil ablation and Group B received CO2-LC. The severity of symptoms including halitosis and foreign body sensation was reported 7 days, 1 month, and 6 months after the procedure. Patient pain levels and amount of bleeding were evaluated as safety outcome measures. Pain levels were evaluated during the intervention, and at Day 1, 3, and 7 following the procedure using a visual analog scale (VAS).

RESULTS.
Mean rank of pain score in the RF tonsil ablation group was found to be higher than in the CO2-LC group at all measured timepoints following the procedure. The amount of bleeding in the LC group was found to be significantly less than in the RF group (P≺0.05). No significant difference was found between the groups regarding duration of procedure (P=0.157).

CONCLUSION.
Both procedures were found to be effective and safe in the treatment of CT-associated halitosis. However, LC showed better results based on lower pain levels, lower incidence of bleeding, and faster progression to a routine diet.","INTRODUCTION.
Bad breath and a sensation of a foreign body are common symptoms of a chronic issue called tonsillitis where there's a cheesy substance in the throat. This study aimed to compare two treatments: one using controlled temperature radio waves and the other using a type of laser, to treat bad breath caused by this condition.

MATERIALS AND METHODS.
We had 62 people in the study who had bad breath and/or these feelings from their throat issue. They were split into two groups. One group received the treatment with radio waves and the other with the laser. We monitored how severe the symptoms were after a week, a month, and then six months after treatment. We also noted any pain suffered and any bleeding as measures of how safe it was. The pain was measured when the treatment was happening and on days 1, 3, and 7 after the treatment using a rating scale.

RESULTS.
We found that the group treated with radio waves suffered more pain than the laser group at all times we checked after the procedure. The laser group had less bleeding than the radio wave group, a significant difference. However, the time for both procedures to complete wasn't significantly different.

CONCLUSION.
Both treatments were found to be effective and safe for treating chronic tonsillitis-associated bad breath. However, the laser showed better results as it caused less pain, less bleeding, and allowed patients to return to their normal diet sooner.",How do both treatments treat bad breath?,Both the laser and radio waves treat bad breath by removing the tonsils.,Background,3 - Usual treatment,,
32,bf9d7b4bd1cac1211041aa8992cf01c8,3917487,karim,"BACKGROUND.
 To determine the effects of probiotic yogurt on performance and health status of young adultfemale endurance swimmers.

METHODS.
 In a randomized controlled trial, 46 endurance swimmers girls with mean age of 13.8 ±1.8 years,weight of 48.6±7.5kg and height of 159±5.6cm, were studied. Subjects were randomly assigned into two groups,receiving either 400 ml probiotic yogurt (intervention group) or ordinary yogurt (control group) daily for 8weeks. At the beginning and at the end of the study, the 400-m free swimming record was done and the HarvardStep test was employed to measure VO2max. Statistical analysis of the data was performed using SPSS software.This trial has been registered with IRCT ID of IRCT2012122311849N1.

RESULTS.
 Average changes in the records of the intervention and control groups were 3.9 and 0.5 seconds, respectively(p= 0.22). The intervention group complained of dyspnea for 2.4 days and the value for the controlwas 4.4 days (p=0.024). Values for ear pain were 0.5 and 1.6 days (p=0.008) respectively. The average numberof episodes of respiratory infection in the intervention group was 0.9 day, which was statistically fewer than thatin the control group (1.4 days), P=0.009.

CONCLUSIONS.
 A reduction in the number of episodes of respiratory infections and duration of some symptomssuch as dyspnea and ear pain was observed. Due to the reduction in upper respiratory tract infections of theathletes following intake of probiotic yogurt, improvement in VO2max is possible.","BACKGROUND.
This study aims to explore the results of eating probiotic yogurt on the physical performance and general health of young female swimmers.

METHODS.
We conducted a study with 46 young, female endurance swimmers, and split them into two groups randomly. We asked one group to consume 400 ml of probiotic yogurt daily for eight weeks while the other group was given regular yogurt. Then, we measured their swimming speed and their oxygen usage during exercise, both pre and post study. We analyzed all data using a specific type of software called SPSS. This study has been officially registered.

RESULTS.
On average, the probiotic yogurt group improved their swimming speed slightly more than the regular yogurt group. They also reported less difficulty breathing and ear pain, and had fewer respiratory infections.

CONCLUSIONS.
We observed that eating probiotic yogurt reduced respiratory infections and problems like difficulty with breathing and ear pain. This suggests that the intake of probiotic yogurt could enhance their oxygen usage during exercise due to less respiratory tract infections.",What type of swimming do the girls in the study do?,Endurance swimming.,Background,1 - Condition,,
33,9c0a3e302d8507cc8d5301e747cff040,3233513,karim,"BACKGROUND.
This study evaluated the efficacy and safety of the long-acting β2-agonist formoterol in patients with moderate-to-severe COPD.

METHODS.
This double-blind, placebo-controlled, parallel-group, multinational phase III study randomized patients ≥ 40 years of age with moderate-to-severe COPD to inhaled formoterol 4.5 or 9 μg twice daily (bid) via Turbuhaler® or placebo for 12 weeks. Salbutamol 100 μg/actuation via pMDI was permitted as reliever medication. The primary outcome variable was change (ratio) from baseline to treatment period in FEV1 60-min post-dose.

RESULTS.
613 patients received treatment (formoterol 4.5 μg n = 206; 9 μg n = 199; placebo n = 208); 539 (87.9%) male; 324 (52.9%) Japanese and 289 (47.1%) European. End of study increases in FEV1 60-min post-dose were significantly greater (p ≺ 0.001 for both) with formoterol 4.5 and 9 μg bid (113% of baseline for both) than with placebo, as were all secondary outcome measures. The proportion of patients with an improvement in St George's Respiratory Questionnaire score of ≥ 4 was 50.2% for formoterol 4.5 μg (p = 0.0682 vs. placebo), 59.2% (p = 0.0004) for 9 μg, and 41.3% for placebo. Reduction in reliever medication use was significantly greater with formoterol vs. placebo (9 μg: -0.548, p ≺ 0.001; 4.5 μg: -0.274, p = 0.027), with 9 μg being significantly superior to 4.5 μg (-0.274, p = 0.029). Formoterol was well tolerated with the incidence and type of adverse events not being different for the three groups.

CONCLUSIONS.
Formoterol 4.5 μg and 9 μg bid was effective and well tolerated in patients with COPD; there was no difference between formoterol doses for the primary endpoint; however, an added value of formoterol 9 μg over 4.5 μg bid was observed for some secondary endpoints.

TRIAL REGISTRATION.
NCT00628862 (ClinicalTrials.gov); D5122C00001 (AstraZeneca Study code).","BACKGROUND.
A study was carried out to see how safe and effective the drug formoterol is for patients with moderate to severe Chronic Obstructive Pulmonary Disease (COPD), a lung disease that makes it hard for a person to breathe. 

METHODS.
This tested the drug on patients aged 40 years and over across multiple countries. The patients took either formoterol or a placebo twice a day using an inhaler, over 12 weeks. They also used a common asthma drug called Salbutamol for relief if they needed it. The test's objective was to see if there were changes in patients' ability to breathe in the hour after they took the drug. 

RESULTS.
613 patients took part in the trial: just under half were from Japan, just over half were from Europe and the majority were male. At the end of the study, those who were given formoterol showed a significant improvement in their breathing ability. It was more noticeable than those given the placebo. They also reduced the reliever medication use a lot more than those taking placebo. The drug formoterol was well accepted and the side effects were not significantly different in any of the groups.

CONCLUSIONS.
The study found that formoterol is effective and safe for COPD patients. Two doses of the drug were tested and although both were helpful, the higher dose seemed to have more benefits for some patients.

TRIAL REGISTRATION.
The study was registered under the numbers NCT00628862 on ClinicalTrials.gov and D5122C00001 as AstraZeneca's study code.",Was there a difference between the two groups taking formoterol in the reduction of taking reliever medication?,9 micrograms had better results than the people taking 4.5 micrograms.,Results,6 - Results,,
34,59f757c54b66fe716a58f5f0d88510d4,2882922,karim,"BACKGROUND.
A population of breast cancer patients exists who, for various reasons, never received adjuvant post-operative tamoxifen (TAM). This study was aimed to evaluate the role of late TAM in these patients.

METHODS.
From 1997 to 2003, patients aged 35 to 75 years, operated more than 2 years previously for monolateral breast cancer without adjuvant TAM, with no signs of metastases and no contraindication to TAM were randomized to TAM 20 mg/day orally for 2 years or follow-up alone. Events were categorized as locoregional relapse, distant metastases, metachronous breast cancer, tumours other than breast cancer and death from any causes, whichever occurred first. The sample size (197 patients per arm, plus 10% allowance) was based on the assumption of a 30% decrease in the number of events occurring at a rate of 5% annually in the 10 years following randomization. Four hundred and thirty-three patients were randomized in the study (TAM 217, follow-up 216). Patients characteristics (TAM/follow-up) included: median age 55/55 years, median time from surgery 25/25 months (range, 25-288/25-294), in situ carcinoma 18/24, oestrogen receptor (ER) positive in 75/68, negative in 70/57, unknown in 72/91 patients. Previous adjuvant treatment included chemotherapy in 131/120 and an LHRH analogue in 11/13 patients.

RESULTS.
Thirty-six patients prematurely discontinued TAM after a median of 1 month, mostly because of subjective intolerance. Eighty-three events (TAM 39, follow-up 44) occurred: locoregional relapse in 10/8, distant metastases in 14/16, metachronous breast cancer in 4/10, other tumours in 11/10 patients. Less ER-positive secondary breast cancers occurred in the TAM treated patients than in follow-up patients (1 vs 10, p = 0.005). Event-free survival was similar in both groups of patients.

CONCLUSIONS.
This 5-year analysis revealed significantly less metachronous ER-positive breast cancers in the TAM treated patients. No other statistically significant differences have emerged thus far.","BACKGROUND.
This study looked at breast cancer patients who, for different reasons, didn't receive a common follow-up treatment called Tamoxifen after their surgery. The aim was to see what role, if any, Tamoxifen could still play for these patients if given later.

METHODS.
Between 1997 and 2003, we looked at patients aged 35-75 who had had surgery for one-sided breast cancer more than 2 years before. These patients didn't have any signs of the cancer spreading and were healthy enough to take Tamoxifen. They were split into two groups: one received 20 mg/day of Tamoxifen for two years, and the other did not. We tracked various outcomes including local and distant cancer recurrence, new breast cancers, other types of cancer, and death. We based our sample size on the hypothesis that taking Tamoxifen would result in 30% fewer events occurring over 10 years. The study included 433 people, 217 took Tamoxifen while 216 did not. The patient's characteristics were very similar in both groups.

RESULTS.
Thirty-six patients stopped taking Tamoxifen after about a month, mainly due to not tolerating it well. Eighty-three significant events occurred: 10 local and 16 distant cancer recurrences, 14 new breast cancers, and 21 other cancers. In the Tamoxifen group, fewer patients developed new estrogen-receptor positive breast cancers (1 vs 10). However, the two groups showed similar overall health progress.

CONCLUSIONS.
The 5-year analysis showed that fewer patients in the Tamoxifen group developed new estrogen-receptor positive cancers. We didn't, however, see any other significant differences between the two groups.",How many patients from each group went through these events?,"10 in the group taking Tamoxifen versus 8 in the control group had local cancer recurrences, 14 versus 16 had distant cancer recurrences. 4 versus 10 had new breast cancers develop, while 11 versus 10 had other types of tumors develop.",Results,6 - Results,,
35,bde972572e862a9e97c9396fb9ad478e,1774569,karim,"BACKGROUND.
Many drug users present to primary care requesting detoxification from illicit opiates. There are a number of detoxification agents but no recommended drug of choice. The purpose of this study is to compare buprenorphine with dihydrocodeine for detoxification from illicit opiates in primary care.

METHODS.
Open label randomised controlled trial in NHS Primary Care (General Practices), Leeds, UK. Sixty consenting adults using illicit opiates received either daily sublingual buprenorphine or daily oral dihydrocodeine. Reducing regimens for both interventions were at the discretion of prescribing doctor within a standard regimen of not more than 15 days. Primary outcome was abstinence from illicit opiates at final prescription as indicated by a urine sample. Secondary outcomes during detoxification period and at three and six months post detoxification were recorded.

RESULTS.
Only 23% completed the prescribed course of detoxification medication and gave a urine sample on collection of their final prescription. Risk of non-completion of detoxification was reduced if allocated buprenorphine (68% vs 88%, RR 0.58 CI 0.35–0.96, p = 0.065). A higher proportion of people allocated to buprenorphine provided a clean urine sample compared with those who received dihydrocodeine (21% vs 3%, RR 2.06 CI 1.33–3.21, p = 0.028). People allocated to buprenorphine had fewer visits to professional carers during detoxification and more were abstinent at three months (10 vs 4, RR 1.55 CI 0.96–2.52) and six months post detoxification (7 vs 3, RR 1.45 CI 0.84–2.49).

CONCLUSION.
Informative randomised trials evaluating routine care within the primary care setting are possible amongst drug using populations. This small study generates unique data on commonly used treatment regimens.","BACKGROUND:
Many drug users go to their regular doctors asking for help to stop using illegal drugs. There are many medicines available to help with this, but no one is sure which is the best. This study compares two drugs, buprenorphine and dihydrocodeine, to see which is better at helping people stop using illegal drugs.

METHODS:
This study included 60 adults in Leeds, UK, who were using illegal drugs and wanted to stop. They were randomly chosen to receive either buprenorphine or dihydrocodeine. The way the drugs were reduced over time depended on what the prescribing doctor thought was best, but it was not supposed to be more than 15 days. The main goal was to see if the person stopped using illegal drugs by the end of the treatment, which was checked by a urine test. They also looked at what happened during the treatment and three and six months afterwards.

RESULTS:
Only 23% of the people finished their drug detox treatment and gave a urine sample at the end. If people were given buprenorphine, they were more likely to finish the detox treatment. Those given buprenorphine were also more likely to have a clean urine sample, meaning they stopped using illegal drugs. They also needed to see healthcare professionals less often during treatment and more were still not using drugs three and six months later.

CONCLUSION:
With help, it is possible to set up good quality trials in the regular healthcare setting for people using drugs. This small study provides completely new data on how to use these treatments.",How much more likely was the buprenorphine group to have a clean urine sample?,21% versus 3% rate from the dihydrocodeine.,Results,6 - Results,,
36,a843c4d7296b0e89ab0377a654b9d16c,2556743,karim,"INTRODUCTION.
Several studies have shown that maximizing stroke volume (or increasing it until a plateau is reached) by volume loading during high-risk surgery may improve post-operative outcome. This goal could be achieved simply by minimizing the variation in arterial pulse pressure (ΔPP) induced by mechanical ventilation. We tested this hypothesis in a prospective, randomized, single-centre study. The primary endpoint was the length of postoperative stay in hospital.

METHODS.
Thirty-three patients undergoing high-risk surgery were randomized either to a control group (group C, n = 16) or to an intervention group (group I, n = 17). In group I, ΔPP was continuously monitored during surgery by a multiparameter bedside monitor and minimized to 10% or less by volume loading.

RESULTS.
Both groups were comparable in terms of demographic data, American Society of Anesthesiology score, type, and duration of surgery. During surgery, group I received more fluid than group C (4,618 ± 1,557 versus 1,694 ± 705 ml (mean ± SD), P ≺ 0.0001), and ΔPP decreased from 22 ± 75 to 9 ± 1% (P ≺ 0.05) in group I. The median duration of postoperative stay in hospital (7 versus 17 days, P ≺ 0.01) was lower in group I than in group C. The number of postoperative complications per patient (1.4 ± 2.1 versus 3.9 ± 2.8, P ≺ 0.05), as well as the median duration of mechanical ventilation (1 versus 5 days, P ≺ 0.05) and stay in the intensive care unit (3 versus 9 days, P ≺ 0.01) was also lower in group I.

CONCLUSION.
Monitoring and minimizing ΔPP by volume loading during high-risk surgery improves postoperative outcome and decreases the length of stay in hospital.

TRIAL REGISTRATION.
NCT00479011","INTRODUCTION.
Research has shown that maintaining a healthy blood flow during major surgeries can help to improve recovery after the operation. One way to achieve this is by using a ventilator to regulate the pressure changes in the blood vessels during these operations. Our research aimed to find out if this method could shorten the length of a patient's stay in the hospital after surgery.

METHODS.
We did a study that involved 33 patients who were due for major surgery. They were divided into two groups. The first group, made up of 16 patients, was treated normally and served as our basis for comparison. In the second group of 17 patients, we kept track of their blood pressure changes using a special monitor during surgery, and ensured that these changes remained small by giving them a lot of fluids.

RESULTS.
The two patient groups were similar in their demographic data, overall health condition, type of surgery, and surgery duration. Throughout the surgery, we noticed that the second group received more fluid and experienced a decline in their blood pressure changes. Also, this group generally spent less time in the hospital after surgery (7 days instead of 17). They also had fewer complications, spent less time on ventilators (1 day instead of 5), and stayed in the ICU for a shorter period (3 days instead of 9). 

CONCLUSION.
Our findings suggest that if we carefully monitor and control blood pressure changes by giving plenty of fluids during major surgery, it can improve the recovery outcomes. This includes reducing the number of complications, the length of time on a ventilator, and the duration of the hospital and ICU stay.

TRIAL REGISTRATION.
NCT00479011",How small were the changes in blood pressure being maintained at?,10% or less change.,Methods,5 - Method,,
37,d5c3d1e0fed8c0f1068acc1cfe46908d,5379203,karim,"Comparisons of home-based versus hospital-based approach in managing patients with suspected obstructive sleep apnoea syndrome(OSAS). A prospective, controlled CPAP parallel study of new referrals with suspected OSAS randomized into group A) home-based or B) hospital-based approach. Following detection of AHI ≥ 15/hr by Embletta sleep study (group A) or polysomnography (group B), patients received CPAP for 3 months after an overnight autoCPAP titration at home or in hospital respectively. Modified intention-to-treat analysis of those with AHI ≥ 15/hr on CPAP (n = 86 vs 86) showed no difference in Epworth sleepiness score, the primary endpoint, but greater improvement in Sleep-Apnoea-Quality-of-Life-Index[difference 0.3,(95%CI 0.02, 0.6), p = 0.033] at 3 months in group A. The mean costs for the patients in group A and group B were HK$8479(989) and HK$22,248(2407) respectively. The mean difference between groups was HK$-13,769(USD 1770 equivalent) per patient with 95% CI. (−14324, −13213), p ≺ 0.001. The waiting time of patients with AHI ≥ 15/hr who were started on CPAP treatment from the first clinic consultation to the diagnostic sleep test, autoCPAP titration, and CPAP treatment was 189.6, 148.8 and 145.0 days shorter in group A than group B respectively. Home-based approach is non-inferior to hospital-based approach in managing patients with suspected OSAS, with shorter waiting time, and substantial cost savings.","This is a study comparing two ways of handling patients who might have Obstructive Sleep Apnoea Syndrome (OSAS), which is a sleep disorder that causes your throat muscles to relax and block your airway during sleep. The study had two groups. Group A patients were looked after at home. Group B patients were treated in a hospital. Both groups of patients were given CPAP, a machine used for treating sleep apnea, for three months. The goal of the study was to see if there was a difference in the patients' sleepiness score but the study found no difference between the two groups. However, those treated at home reported a better improvement in their sleep quality and life quality.
In terms of cost and waiting time, the home-based approach was significantly better. It was cheaper by about USD 1770 per patient and also reduced waiting times by about 5-6 months from their first doctor visit to getting the CPAP machine.
Therefore, this study suggests that treating patients with suspected OSAS at home can be as effective as treating them in the hospital. Plus it saves money and time.",What were the mean costs of each group?,"Group A had a mean cost of HK$8479 and group B HK$22,248.",n/a (Unsectioned),6 - Results,,
38,304722e1dc736f62e60220dca3fc731e,3233513,karim,"BACKGROUND.
This study evaluated the efficacy and safety of the long-acting β2-agonist formoterol in patients with moderate-to-severe COPD.

METHODS.
This double-blind, placebo-controlled, parallel-group, multinational phase III study randomized patients ≥ 40 years of age with moderate-to-severe COPD to inhaled formoterol 4.5 or 9 μg twice daily (bid) via Turbuhaler® or placebo for 12 weeks. Salbutamol 100 μg/actuation via pMDI was permitted as reliever medication. The primary outcome variable was change (ratio) from baseline to treatment period in FEV1 60-min post-dose.

RESULTS.
613 patients received treatment (formoterol 4.5 μg n = 206; 9 μg n = 199; placebo n = 208); 539 (87.9%) male; 324 (52.9%) Japanese and 289 (47.1%) European. End of study increases in FEV1 60-min post-dose were significantly greater (p ≺ 0.001 for both) with formoterol 4.5 and 9 μg bid (113% of baseline for both) than with placebo, as were all secondary outcome measures. The proportion of patients with an improvement in St George's Respiratory Questionnaire score of ≥ 4 was 50.2% for formoterol 4.5 μg (p = 0.0682 vs. placebo), 59.2% (p = 0.0004) for 9 μg, and 41.3% for placebo. Reduction in reliever medication use was significantly greater with formoterol vs. placebo (9 μg: -0.548, p ≺ 0.001; 4.5 μg: -0.274, p = 0.027), with 9 μg being significantly superior to 4.5 μg (-0.274, p = 0.029). Formoterol was well tolerated with the incidence and type of adverse events not being different for the three groups.

CONCLUSIONS.
Formoterol 4.5 μg and 9 μg bid was effective and well tolerated in patients with COPD; there was no difference between formoterol doses for the primary endpoint; however, an added value of formoterol 9 μg over 4.5 μg bid was observed for some secondary endpoints.

TRIAL REGISTRATION.
NCT00628862 (ClinicalTrials.gov); D5122C00001 (AstraZeneca Study code).","BACKGROUND.
A study was carried out to see how safe and effective the drug formoterol is for patients with moderate to severe Chronic Obstructive Pulmonary Disease (COPD), a lung disease that makes it hard for a person to breathe. 

METHODS.
This tested the drug on patients aged 40 years and over across multiple countries. The patients took either formoterol or a placebo twice a day using an inhaler, over 12 weeks. They also used a common asthma drug called Salbutamol for relief if they needed it. The test's objective was to see if there were changes in patients' ability to breathe in the hour after they took the drug. 

RESULTS.
613 patients took part in the trial: just under half were from Japan, just over half were from Europe and the majority were male. At the end of the study, those who were given formoterol showed a significant improvement in their breathing ability. It was more noticeable than those given the placebo. They also reduced the reliever medication use a lot more than those taking placebo. The drug formoterol was well accepted and the side effects were not significantly different in any of the groups.

CONCLUSIONS.
The study found that formoterol is effective and safe for COPD patients. Two doses of the drug were tested and although both were helpful, the higher dose seemed to have more benefits for some patients.

TRIAL REGISTRATION.
The study was registered under the numbers NCT00628862 on ClinicalTrials.gov and D5122C00001 as AstraZeneca's study code.",What type of formoterol is being observed in the study?,"Long-acting β2-agonist formoterol, which is a drug used to treat asthma that stays in the blood stream for extended periods of time compared to short-acting drugs.",Background,4 - New treatment,,
39,4abf5c59fd553838697a344d3fa7c052,1868720,karim,"BACKGROUND.
It is unclear if objective selection of employees, for an intervention to prevent sickness absence, is more effective than subjective 'personal enlistment'. We hypothesize that objectively selected employees are 'at risk' for sickness absence and eligible to participate in the intervention program.

METHODS.
The dispatch of 8603 screening instruments forms the starting point of the objective selection process. Different stages of this process, throughout which employees either dropped out or were excluded, were described and compared with the subjective selection process. Characteristics of ineligible and ultimately selected employees, for a randomized trial, were described and quantified using sickness absence data.

RESULTS.
Overall response rate on the screening instrument was 42.0%. Response bias was found for the parameters sex and age, but not for sickness absence. Sickness absence was higher in the 'at risk' (N = 212) group (42%) compared to the 'not at risk' (N = 2503) group (25%) (OR 2.17 CI 1.63–2.89; p = 0.000). The selection process ended with the successful inclusion of 151 eligible, i.e. 2% of the approached employees in the trial.

CONCLUSION.
The study shows that objective selection of employees for early intervention is effective. Despite methodological and practical problems, selected employees are actually those at risk for sickness absence, who will probably benefit more from the intervention program than others.","BACKGROUND.
This study looks at if picking workers based on certain facts (objective) for a program meant to stop them from taking sick days is better than just choosing them based on a hunch (subjective). The researchers think that those chosen based on solid evidence are more likely to be at risk of taking sick days, making them the ideal candidates for the program.

METHODS.
The researchers started by sending out 8603 surveys to begin the evidence-based selection process. They detailed and compared the different steps in this process, which involved some workers not completing the process or being ruled out, to the hunch-based selection. They studied and noted down certain characteristics of the workers who couldn't join and those who were eventually chosen for a test experiment using data regarding sick leave.

RESULTS.
The overall response to the survey was 42.0%. There was bias in answering the survey when it came to sex and age, but not for sick leave. The rate of sick leave was higher in the 'at risk' group (42%) as compared to the 'not at risk' group (25%). The selection process ended successfully with 151 workers, or 2% of those contacted, included in the test.

CONCLUSION.
The study found that selecting workers for this kind of program based on solid evidence is effective. Even though they faced some challenges, the researchers were able to find that the workers picked were genuinely those at risk of taking sick leave. These workers are likely to benefit more from the program than others.",What kind of test were the workers being chosen for?,"A randomized trial, which is a study design that randomly assigns participants into an experimental group or a control group.",Methods,5.1 - Experiment Protocol,,
